feature,outcome,r,p_value,n,method,x_normal,y_normal
max_TE_fHR_all,Mother Score_PSS,-0.13344682918475023,0.14969090398986837,118,spearman,False,False
max_TE_fHR_all,Mother Score PDQ,-0.09270046924950531,0.31807714861414144,118,spearman,False,False
max_TE_fHR_all,Mother CORTISOL (pg/mg of maternal hair),0.08296294341314206,0.4369256111760441,90,spearman,False,False
max_TE_fHR_all,COG COMPOSITE SCORE,-0.08535609341328529,0.49901169697370085,65,spearman,False,False
max_TE_fHR_all,LANG RECEPT SCORE,-0.0354887242470546,0.7895880037491054,59,spearman,False,True
max_TE_fHR_all,LANG EXPRES SCORE,-0.06547556552693805,0.6222274614043022,59,spearman,False,True
max_TE_fHR_all,LANG COMP SCORE,-0.029611980921120086,0.823818745562453,59,spearman,False,True
max_TE_fHR_all,MOTOR FINE  SKILLS SCORE,-0.00935586603589475,0.9419856454295534,63,spearman,False,True
max_TE_fHR_all,MOTOR GROSS SKILLS SCORE,-0.07681506117534928,0.5463083158802108,64,spearman,False,False
max_TE_fHR_all,MOTOR COMPOSITE SCORE,-0.017187719200759684,0.8936388150256663,63,spearman,False,True
max_TE_fHR_accel,Mother Score_PSS,0.16004454662318732,0.08753079413470408,115,spearman,True,False
max_TE_fHR_accel,Mother Score PDQ,0.008910606314080726,0.9247011823953211,115,spearman,True,False
max_TE_fHR_accel,Mother CORTISOL (pg/mg of maternal hair),0.24974326969429006,0.01894472743230034,88,spearman,False,False
max_TE_fHR_accel,COG COMPOSITE SCORE,-0.029977819940981563,0.8140933469492613,64,spearman,True,False
max_TE_fHR_accel,LANG RECEPT SCORE,-0.1901337756419479,0.1528398882862704,58,pearson,True,True
max_TE_fHR_accel,LANG EXPRES SCORE,-0.2215165205377761,0.09469653735103871,58,pearson,True,True
max_TE_fHR_accel,LANG COMP SCORE,-0.1498330755876887,0.26160495089747804,58,pearson,True,True
max_TE_fHR_accel,MOTOR FINE  SKILLS SCORE,-0.15773601776599777,0.22079356307391088,62,pearson,True,True
max_TE_fHR_accel,MOTOR GROSS SKILLS SCORE,0.04987529652430849,0.6978774280573977,63,spearman,True,False
max_TE_fHR_accel,MOTOR COMPOSITE SCORE,-0.00035989669270690416,0.9977849500608401,62,pearson,True,True
max_TE_fHR_decel,Mother Score_PSS,0.11285432444790029,0.2298103809041917,115,spearman,True,False
max_TE_fHR_decel,Mother Score PDQ,-0.0288795098515166,0.7593161593919033,115,spearman,True,False
max_TE_fHR_decel,Mother CORTISOL (pg/mg of maternal hair),0.2709431190868078,0.010671359165913418,88,spearman,True,False
max_TE_fHR_decel,COG COMPOSITE SCORE,0.02120042572123638,0.8679371548031858,64,spearman,True,False
max_TE_fHR_decel,LANG RECEPT SCORE,-0.15191436416860493,0.2549609852823154,58,pearson,True,True
max_TE_fHR_decel,LANG EXPRES SCORE,-0.19367018148053855,0.14520691449397571,58,pearson,True,True
max_TE_fHR_decel,LANG COMP SCORE,-0.16209447038713098,0.2241142785202704,58,pearson,True,True
max_TE_fHR_decel,MOTOR FINE  SKILLS SCORE,-0.040186480449705624,0.7564740202320186,62,pearson,True,True
max_TE_fHR_decel,MOTOR GROSS SKILLS SCORE,0.06593187708587141,0.607673069170582,63,spearman,True,False
max_TE_fHR_decel,MOTOR COMPOSITE SCORE,0.056167700426995676,0.664573873656703,62,pearson,True,True
max_TE_mHR_all,Mother Score_PSS,-0.13344682918475023,0.14969090398986837,118,spearman,False,False
max_TE_mHR_all,Mother Score PDQ,-0.09270046924950531,0.31807714861414144,118,spearman,False,False
max_TE_mHR_all,Mother CORTISOL (pg/mg of maternal hair),0.08296294341314206,0.4369256111760441,90,spearman,False,False
max_TE_mHR_all,COG COMPOSITE SCORE,-0.08535609341328529,0.49901169697370085,65,spearman,False,False
max_TE_mHR_all,LANG RECEPT SCORE,-0.0354887242470546,0.7895880037491054,59,spearman,False,True
max_TE_mHR_all,LANG EXPRES SCORE,-0.06547556552693805,0.6222274614043022,59,spearman,False,True
max_TE_mHR_all,LANG COMP SCORE,-0.029611980921120086,0.823818745562453,59,spearman,False,True
max_TE_mHR_all,MOTOR FINE  SKILLS SCORE,-0.00935586603589475,0.9419856454295534,63,spearman,False,True
max_TE_mHR_all,MOTOR GROSS SKILLS SCORE,-0.07681506117534928,0.5463083158802108,64,spearman,False,False
max_TE_mHR_all,MOTOR COMPOSITE SCORE,-0.017187719200759684,0.8936388150256663,63,spearman,False,True
max_TE_mHR_accel,Mother Score_PSS,0.11329380212902046,0.2279894680157393,115,spearman,False,False
max_TE_mHR_accel,Mother Score PDQ,-0.01981240993634271,0.8335396598269196,115,spearman,False,False
max_TE_mHR_accel,Mother CORTISOL (pg/mg of maternal hair),0.28717013265168234,0.006672378568743548,88,spearman,False,False
max_TE_mHR_accel,COG COMPOSITE SCORE,-0.03171936641315323,0.8035029523752703,64,spearman,False,False
max_TE_mHR_accel,LANG RECEPT SCORE,-0.16788866116436957,0.20776600583232294,58,spearman,False,True
max_TE_mHR_accel,LANG EXPRES SCORE,-0.20637263850938348,0.1201231143699269,58,spearman,False,True
max_TE_mHR_accel,LANG COMP SCORE,-0.15402037203739388,0.24835527227967782,58,spearman,False,True
max_TE_mHR_accel,MOTOR FINE  SKILLS SCORE,-0.07988548465525663,0.5370992431701527,62,spearman,False,True
max_TE_mHR_accel,MOTOR GROSS SKILLS SCORE,0.11456455508417127,0.3712858541873426,63,spearman,False,False
max_TE_mHR_accel,MOTOR COMPOSITE SCORE,0.08486559037311953,0.5119413556783589,62,spearman,False,True
max_TE_mHR_decel,Mother Score_PSS,0.0954515141804159,0.3102295885049706,115,spearman,True,False
max_TE_mHR_decel,Mother Score PDQ,-0.010309433203297835,0.9129237005930522,115,spearman,True,False
max_TE_mHR_decel,Mother CORTISOL (pg/mg of maternal hair),0.3146107302361804,0.0028329111667495504,88,spearman,True,False
max_TE_mHR_decel,COG COMPOSITE SCORE,-0.02375469388042149,0.8521951498733155,64,spearman,True,False
max_TE_mHR_decel,LANG RECEPT SCORE,-0.18602982044017088,0.1620655216053439,58,pearson,True,True
max_TE_mHR_decel,LANG EXPRES SCORE,-0.1994334456482491,0.13338156342476432,58,pearson,True,True
max_TE_mHR_decel,LANG COMP SCORE,-0.18937846725679366,0.15450794299978357,58,pearson,True,True
max_TE_mHR_decel,MOTOR FINE  SKILLS SCORE,-0.12312647889205752,0.34038603326569067,62,pearson,True,True
max_TE_mHR_decel,MOTOR GROSS SKILLS SCORE,0.050801169151530635,0.6925456703466182,63,spearman,True,False
max_TE_mHR_decel,MOTOR COMPOSITE SCORE,0.032998969921916,0.7990200219461988,62,pearson,True,True
mean_TE_fHR_all,Mother Score_PSS,-0.12513428759152093,0.1769679973097665,118,spearman,False,False
mean_TE_fHR_all,Mother Score PDQ,-0.0376120156760047,0.6859444200755005,118,spearman,False,False
mean_TE_fHR_all,Mother CORTISOL (pg/mg of maternal hair),0.056874436442103084,0.5944161806165068,90,spearman,False,False
mean_TE_fHR_all,COG COMPOSITE SCORE,-0.02822311523709459,0.8234021120420778,65,spearman,False,False
mean_TE_fHR_all,LANG RECEPT SCORE,-0.04990143194374923,0.7074128085180691,59,spearman,False,True
mean_TE_fHR_all,LANG EXPRES SCORE,-0.09057257313914857,0.49509981590347873,59,spearman,False,True
mean_TE_fHR_all,LANG COMP SCORE,-0.024715742491588352,0.852592506542085,59,spearman,False,True
mean_TE_fHR_all,MOTOR FINE  SKILLS SCORE,0.008630605102879652,0.9464760209264884,63,spearman,False,True
mean_TE_fHR_all,MOTOR GROSS SKILLS SCORE,-0.1105030223264029,0.3847010175394222,64,spearman,False,False
mean_TE_fHR_all,MOTOR COMPOSITE SCORE,-0.022683932353316776,0.8599283809077249,63,spearman,False,True
mean_TE_fHR_accel,Mother Score_PSS,0.06470365047998226,0.4920766129331784,115,spearman,True,False
mean_TE_fHR_accel,Mother Score PDQ,-0.028822156299292606,0.7597796143302175,115,spearman,True,False
mean_TE_fHR_accel,Mother CORTISOL (pg/mg of maternal hair),0.21247728600681529,0.04687028546244566,88,spearman,True,False
mean_TE_fHR_accel,COG COMPOSITE SCORE,0.06072192032971866,0.6336175316596573,64,spearman,True,False
mean_TE_fHR_accel,LANG RECEPT SCORE,-0.10957215499664544,0.4129115592005123,58,pearson,True,True
mean_TE_fHR_accel,LANG EXPRES SCORE,-0.0458648731786076,0.7324466866950669,58,pearson,True,True
mean_TE_fHR_accel,LANG COMP SCORE,-0.03916781901193849,0.7703540807589839,58,pearson,True,True
mean_TE_fHR_accel,MOTOR FINE  SKILLS SCORE,-0.001408398338317054,0.9913319105033447,62,pearson,True,True
mean_TE_fHR_accel,MOTOR GROSS SKILLS SCORE,0.20461785061609317,0.10769239434553451,63,spearman,True,False
mean_TE_fHR_accel,MOTOR COMPOSITE SCORE,0.1282589424690178,0.3204809551771569,62,pearson,True,True
mean_TE_fHR_decel,Mother Score_PSS,0.06297326832646949,0.50375080699983,115,spearman,True,False
mean_TE_fHR_decel,Mother Score PDQ,0.029861397745236388,0.7513952046524823,115,spearman,True,False
mean_TE_fHR_decel,Mother CORTISOL (pg/mg of maternal hair),0.20689137838770771,0.053107766242622256,88,spearman,True,False
mean_TE_fHR_decel,COG COMPOSITE SCORE,0.044328162871676076,0.7279851578210087,64,spearman,True,False
mean_TE_fHR_decel,LANG RECEPT SCORE,-0.17596154491116955,0.18641893833708215,58,pearson,True,True
mean_TE_fHR_decel,LANG EXPRES SCORE,-0.19064168841798299,0.15172571211395933,58,pearson,True,True
mean_TE_fHR_decel,LANG COMP SCORE,-0.1527622606996731,0.2522873177766728,58,pearson,True,True
mean_TE_fHR_decel,MOTOR FINE  SKILLS SCORE,-0.06408917605322575,0.6206862104919693,62,pearson,True,True
mean_TE_fHR_decel,MOTOR GROSS SKILLS SCORE,0.07090235118990607,0.5808139021842169,63,spearman,True,False
mean_TE_fHR_decel,MOTOR COMPOSITE SCORE,0.03400653748659007,0.7930174841547092,62,pearson,True,True
mean_TE_mHR_all,Mother Score_PSS,-0.12513428759152093,0.1769679973097665,118,spearman,False,False
mean_TE_mHR_all,Mother Score PDQ,-0.0376120156760047,0.6859444200755005,118,spearman,False,False
mean_TE_mHR_all,Mother CORTISOL (pg/mg of maternal hair),0.056874436442103084,0.5944161806165068,90,spearman,False,False
mean_TE_mHR_all,COG COMPOSITE SCORE,-0.02822311523709459,0.8234021120420778,65,spearman,False,False
mean_TE_mHR_all,LANG RECEPT SCORE,-0.04990143194374923,0.7074128085180691,59,spearman,False,True
mean_TE_mHR_all,LANG EXPRES SCORE,-0.09057257313914857,0.49509981590347873,59,spearman,False,True
mean_TE_mHR_all,LANG COMP SCORE,-0.024715742491588352,0.852592506542085,59,spearman,False,True
mean_TE_mHR_all,MOTOR FINE  SKILLS SCORE,0.008630605102879652,0.9464760209264884,63,spearman,False,True
mean_TE_mHR_all,MOTOR GROSS SKILLS SCORE,-0.1105030223264029,0.3847010175394222,64,spearman,False,False
mean_TE_mHR_all,MOTOR COMPOSITE SCORE,-0.022683932353316776,0.8599283809077249,63,spearman,False,True
mean_TE_mHR_accel,Mother Score_PSS,0.047744652621477084,0.6123652016245601,115,spearman,True,False
mean_TE_mHR_accel,Mother Score PDQ,-0.03536519125055191,0.7074940289926483,115,spearman,True,False
mean_TE_mHR_accel,Mother CORTISOL (pg/mg of maternal hair),0.22149552561972569,0.038085008395900614,88,spearman,True,False
mean_TE_mHR_accel,COG COMPOSITE SCORE,-0.023336722727100287,0.8547673557541076,64,spearman,True,False
mean_TE_mHR_accel,LANG RECEPT SCORE,-0.17358602280547814,0.1925296833576521,58,pearson,True,True
mean_TE_mHR_accel,LANG EXPRES SCORE,-0.1108350843271706,0.40751406439615095,58,pearson,True,True
mean_TE_mHR_accel,LANG COMP SCORE,-0.12415969914536945,0.3531026424894705,58,pearson,True,True
mean_TE_mHR_accel,MOTOR FINE  SKILLS SCORE,-0.04679530389062425,0.7179754402966594,62,pearson,True,True
mean_TE_mHR_accel,MOTOR GROSS SKILLS SCORE,0.1630266775985091,0.20173199855489993,63,spearman,True,False
mean_TE_mHR_accel,MOTOR COMPOSITE SCORE,0.08334357489673092,0.5195659849015201,62,pearson,True,True
