feature,outcome,r,p_value,n,method,x_normal,y_normal
entropy_rate_fetus_full,Mother Score_PSS,-0.07536157386893685,0.4173220536023319,118,spearman,True,False
entropy_rate_fetus_full,Mother Score PDQ,0.060977444161171894,0.5118600568299791,118,spearman,True,False
entropy_rate_mother_full,Mother Score_PSS,-0.049184151354555825,0.5968682783403663,118,spearman,True,False
entropy_rate_mother_full,Mother Score PDQ,0.1141091311556643,0.21855839682665654,118,spearman,True,False
entropy_rate_fetus_fHR_accel,Mother Score_PSS,-0.013810896393749843,0.889875876065934,103,spearman,False,False
entropy_rate_fetus_fHR_accel,Mother Score PDQ,0.1042092553740852,0.2948430208158001,103,spearman,False,False
entropy_rate_mother_fHR_accel,Mother Score_PSS,-0.01669183178798747,0.8670963986824773,103,spearman,True,False
entropy_rate_mother_fHR_accel,Mother Score PDQ,0.11165984322929232,0.2614760663995521,103,spearman,True,False
entropy_rate_fetus_fHR_decel,Mother Score_PSS,0.0707020718682844,0.5850224850826622,62,pearson,True,True
entropy_rate_fetus_fHR_decel,Mother Score PDQ,0.12872079728865723,0.31872689412392274,62,spearman,True,False
entropy_rate_mother_fHR_decel,Mother Score_PSS,0.14570855543570557,0.2584742505919659,62,pearson,True,True
entropy_rate_mother_fHR_decel,Mother Score PDQ,0.2029566010159781,0.11363272789321431,62,spearman,True,False
entropy_rate_fetus_mHR_accel,Mother Score_PSS,-0.06019049504582906,0.5284184030230268,112,spearman,True,False
entropy_rate_fetus_mHR_accel,Mother Score PDQ,0.0755779364839406,0.42835929241358994,112,spearman,True,False
entropy_rate_mother_mHR_accel,Mother Score_PSS,-0.00023521935679413091,0.9980360880610506,112,spearman,True,False
entropy_rate_mother_mHR_accel,Mother Score PDQ,0.11293269628344076,0.23579752637656212,112,spearman,True,False
entropy_rate_fetus_mHR_decel,Mother Score_PSS,-0.07663274136140369,0.4305306084510644,108,spearman,True,False
entropy_rate_fetus_mHR_decel,Mother Score PDQ,0.0697661217513808,0.473084692696495,108,spearman,True,False
entropy_rate_mother_mHR_decel,Mother Score_PSS,-0.00999495282250779,0.9182292541266606,108,spearman,True,False
entropy_rate_mother_mHR_decel,Mother Score PDQ,0.11777147176545823,0.22478403156345858,108,spearman,True,False
sampen_fetus_full,Mother Score_PSS,-0.01029469745431442,0.9119006220779795,118,spearman,False,False
sampen_fetus_full,Mother Score PDQ,0.020848865198169263,0.8226871898399636,118,spearman,False,False
sampen_mother_full,Mother Score_PSS,-0.0785688384044373,0.397720692938047,118,spearman,True,False
sampen_mother_full,Mother Score PDQ,0.030252800711238235,0.7450254267852765,118,spearman,True,False
sampen_fetus_fHR_accel,Mother Score_PSS,-0.018763748795908215,0.8401712325940374,118,spearman,False,False
sampen_fetus_fHR_accel,Mother Score PDQ,-0.14642527758066756,0.11360531265217615,118,spearman,False,False
sampen_mother_fHR_accel,Mother Score_PSS,-0.0188057070892801,0.8398186066708375,118,spearman,False,False
sampen_mother_fHR_accel,Mother Score PDQ,-0.14435219242863132,0.11886536119386376,118,spearman,False,False
sampen_fetus_fHR_decel,Mother Score_PSS,,,118,spearman,True,False
sampen_fetus_fHR_decel,Mother Score PDQ,,,118,spearman,True,False
sampen_mother_fHR_decel,Mother Score_PSS,,,118,spearman,True,False
sampen_mother_fHR_decel,Mother Score PDQ,,,118,spearman,True,False
sampen_fetus_mHR_accel,Mother Score_PSS,0.02322356341471344,0.8028807328250264,118,spearman,False,False
sampen_fetus_mHR_accel,Mother Score PDQ,0.038320041684511426,0.6803523363668931,118,spearman,False,False
sampen_mother_mHR_accel,Mother Score_PSS,0.025337589827696086,0.7853525665724158,118,spearman,False,False
sampen_mother_mHR_accel,Mother Score PDQ,0.046457941306019664,0.6173848886335326,118,spearman,False,False
sampen_fetus_mHR_decel,Mother Score_PSS,-0.01778426142903257,0.8484118935434711,118,spearman,False,False
sampen_fetus_mHR_decel,Mother Score PDQ,-0.14318225165307943,0.12191593933673828,118,spearman,False,False
sampen_mother_mHR_decel,Mother Score_PSS,-0.015452924295442665,0.8680902869692366,118,spearman,False,False
sampen_mother_mHR_decel,Mother Score PDQ,-0.1403412985099036,0.12957490820461706,118,spearman,False,False
