feature,median_control,median_stressed,n_control,n_stressed,U_statistic,p_value
entropy_rate_fetus_full,2.742505,2.710919,61,59,1759.0,0.833687121040483
entropy_rate_mother_full,2.321152,2.284469,61,59,1912.0,0.5565791245012488
entropy_rate_fetus_fHR_accel,2.0288135,2.061218,54,51,1368.0,0.9565388809540792
entropy_rate_mother_fHR_accel,2.1008575,2.078854,54,51,1438.0,0.698095033230698
entropy_rate_fetus_fHR_decel,2.404309,2.441323,29,33,423.0,0.43778554387053736
entropy_rate_mother_fHR_decel,2.071688,2.052301,29,33,462.0,0.8214134124412462
entropy_rate_fetus_mHR_accel,2.57824,2.5589795,58,56,1598.0,0.8850775671187744
entropy_rate_mother_mHR_accel,1.6980835,1.6894084999999999,58,56,1638.0,0.9390063309658284
entropy_rate_fetus_mHR_decel,2.4773665,2.4864094999999997,56,54,1532.0,0.9071822971270389
entropy_rate_mother_mHR_decel,1.6869245,1.73577,56,54,1487.0,0.8835352959694349
sampen_fetus_full,0.931509,0.965538,61,59,1739.0,0.7527900328922399
sampen_mother_full,1.111844,1.083769,61,59,2007.0,0.2772043181160859
sampen_fetus_fHR_accel,0.0,0.0,61,59,1852.0,0.5278566693853768
sampen_mother_fHR_accel,0.0,0.0,61,59,1853.0,0.5199508081313284
sampen_fetus_fHR_decel,0.0,0.0,61,59,1799.5,1.0
sampen_mother_fHR_decel,0.0,0.0,61,59,1799.5,1.0
sampen_fetus_mHR_accel,0.0,0.0,61,59,1800.5,0.9964553727201853
sampen_mother_mHR_accel,0.0,0.0,61,59,1795.5,0.9751915260959757
sampen_fetus_mHR_decel,0.0,0.0,61,59,1769.0,0.6982422214766684
sampen_mother_mHR_decel,0.0,0.0,61,59,1767.0,0.6792105367261327
